board_x_mm,board_y_mm,observations,detections,detection_rate,mean_sharpness,std_sharpness,mean_marker_size_px,std_marker_size_px,mean_distance_center_px,mean_camera_distance_mm,mean_pitch_deg,mean_yaw_deg,mean_roll_deg
113.0,105.75,95,95,100.0,6363.075913427164,1255.1468703913795,14.984400749206543,0.1276300549507141,246.54048506203992,0.0,0.0,0.0,0.0
112.75,84.0,95,33,34.73684210526316,1687.312315639315,2319.7451532849886,5.106981598703485,7.0010906973726215,90.11591592375342,0.0,0.0,0.0,0.0
114.5,169.75,95,95,100.0,7045.556498166298,469.5669309431076,14.598947525024414,0.1460104137659073,217.02552767806185,0.0,0.0,0.0,0.0
454.0,126.75,95,95,100.0,8948.967814267664,647.2792054727889,14.696012496948242,0.13646730780601501,175.33166025227098,0.0,0.0,0.0,0.0
113.75,149.0,95,94,98.94736842105263,6300.327743207395,1254.8485997299726,14.627306767513877,1.5261943670448186,223.05122716208172,0.0,0.0,0.0,0.0
367.5,254.25,95,94,98.94736842105263,10573.97422300369,1528.3393134133244,14.632281474063271,1.5376255644575487,48.94252812793397,0.0,0.0,0.0,0.0
432.5,105.25,95,95,100.0,8394.893687514623,1489.6035023175918,14.772435188293457,0.028272558003664017,175.4658482774214,0.0,0.0,0.0,0.0
582.75,211.5,95,93,97.89473684210526,9792.829845979531,1462.684677288334,14.455779738175242,2.1203793379929863,258.72627913119123,0.0,0.0,0.0,0.0
517.5,191.0,95,84,88.42105263157895,5952.169075768356,2797.0966833889524,13.07082529569927,4.732685825526702,180.07606944423375,0.0,0.0,0.0,0.0
605.75,168.5,95,95,100.0,7207.906128497402,257.60318116256366,14.769027709960938,0.05107596144080162,294.5550568599696,0.0,0.0,0.0,0.0
410.75,148.5,95,85,89.47368421052632,6819.207903729695,2345.745137417092,13.204815914756374,4.529214492896003,115.30590186176563,0.0,0.0,0.0,0.0
432.75,83.5,95,92,96.84210526315789,9005.809539968322,1653.1457794509215,14.18159324244449,2.566972640354573,186.8723235314638,0.0,0.0,0.0,0.0
262.0,41.75,95,84,88.42105263157895,3992.2776237956805,1496.691411931869,12.942271242643658,4.686496351331091,183.20250551256433,0.0,0.0,0.0,0.0
411.0,127.25,95,92,96.84210526315789,7049.069435210049,1403.7507219662034,14.286487980892783,2.583474503047118,140.49897365725315,0.0,0.0,0.0,0.0
432.25,127.0,95,95,100.0,6816.242278143273,191.78713565280654,14.77552318572998,0.00013556797057390213,159.27662753494417,0.0,0.0,0.0,0.0
410.0,380.25,95,95,100.0,9932.761600771706,622.7254951882137,14.675329208374023,0.1482613980770111,166.72596477646306,0.0,0.0,0.0,0.0
116.25,380.0,95,95,100.0,6698.498439982023,1134.8359408189533,14.771011352539062,0.007997265085577965,247.22868105262637,0.0,0.0,0.0,0.0
